question_no,question,correct_answer,category,labels
3261,"Suppose you discovered a new species of bioluminescent worm . How could you prove that it was the worm itself and not some contaminating bacteria that was producing the light ?
A. Place the worm in a dark environment
B. Measure the light intensity emitted by the worm over time
C. Feed the worm with different food sources
D. Place the light-producing substance in complete growth media or physically examine it under a microscope
E. Perform a chemical analysis of the light-producing substance
F. Expose the worm to high temperatures",D,biology,A|B|C|D|E|F
3484,"Distinguish between covalent and ionic bonds.
A. A covalent bond is the attraction between two atoms sharing multiple protons, whereas an ionic bond is the attraction between two neutrally charged atoms.
B. A covalent bond is a bond in which two atoms are held together by a shared pair of electrons. An ionic bond is a bond in which oppositely charged ions are held together by electrical attraction.
C. A covalent bond is created when one atom donates both electrons in a pair, and an ionic bond occurs when two positively charged ions attract each other.
D. A covalent bond is a bond formed when two atoms share a neutron. An ionic bond is a bond formed when two ions of different charges form a magnetic attraction.
E. A covalent bond involves the transfer of electrons from one atom to another, while an ionic bond involves sharing a pair of neutrons between two atoms.
F. A covalent bond is a bond where two atoms share a pair of protons. An ionic bond is a bond where two ions of the same charge are held together by their magnetic field.
G. A covalent bond is formed when two atoms share a pair of electrons. An ionic bond is formed when two atoms of the same charge are held together by electrical repulsion.
H. A covalent bond is formed by the attraction between ions of the same charge, and an ionic bond is formed when atoms share pairs of protons.
I. A covalent bond is a bond where two atoms share a pair of electrons unevenly, and an ionic bond is a bond where two atoms of opposite charges share a neutron.
J. A covalent bond occurs when two atoms share a pair of electrons with identical charges, while an ionic bond is the result of two atoms with similar electronegativities transferring electrons.",B,biology,A|B|C|D|E|F|G|H|I|J
3207,"Which of the following statements correctly describes what happens to the preRNA during RNA processing?
A. Point mutations are repaired, introns are removed, and both a 5′ cap and a poly-A tail are added after the preRNA leaves the nucleus.
B. Point mutations are repaired, exons are removed, and both a 5′ cap and a poly-A tail are added before the preRNA leaves the nucleus.
C. Exons are removed in the nucleus. A 5′ cap and the poly-A tail are added after the preRNA leaves the nucleus.
D. Exons are removed and a 5′ cap is added before the preRNA leaves the nucleus. After leaving the nucleus, the poly-A tail is added.
E. Introns are removed and a poly-A tail is added before the preRNA leaves the nucleus. After leaving the nucleus, the 5′ cap is added.
F. Introns are removed in the nucleus. A 5′ cap and the poly-A tail are added after the preRNA leaves the nucleus.
G. Introns are removed and both a 5′ cap and a poly-A tail are added before the preRNA leaves the nucleus.
H. Both a 5′ cap and a poly-A tail are added before the preRNA leaves the nucleus. After leaving the nucleus, introns are removed.
I. Introns are removed, exons are added, and both a 5′ cap and a poly-A tail are added before the preRNA leaves the nucleus.
J. Introns are removed and a 5′ cap is added before the preRNA leaves the nucleus. After leaving the nucleus, the poly-A tail is added.",G,biology,A|B|C|D|E|F|G|H|I|J
3510,"Why is the drop in blood pressure important in retaining fluid within the capillaries?
A. The drop in blood pressure causes blood clotting
B. The drop in blood pressure causes an increase in plasma protein concentration
C. The drop in blood pressure stimulates the excretion of fluids by the kidneys
D. The drop in blood pressure causes dehydration
E. The drop in blood pressure triggers the release of antidiuretic hormone
F. The drop in blood pressure decreases the permeability of capillary walls
G. The drop in blood pressure allows reabsorption of the lost fluid
H. The drop in blood pressure increases the heart rate
I. The drop in blood pressure leads to a constriction of the capillaries
J. The drop in blood pressure activates the sympathetic nervous system",G,biology,A|B|C|D|E|F|G|H|I|J
3505,"How can you determine whether or not a given populationis ingenetic equilibrium?
A. Measure the physical characteristics of the population
B. Compare the population to a different species
C. Compare the population's disease resistance to other populations
D. Check for the presence of natural selection
E. Compare gene frequencies and genotype frequencies over two generations
F. Analyze the population's fossil record
G. Observe the mating behaviors within the population for one generation
H. Examine the population's age distribution and life expectancy rates
I. Monitor changes in the population's climate and environment
J. Study the population's migration patterns",E,biology,A|B|C|D|E|F|G|H|I|J
3114,"All of the following support the endosymbiotic theory that ancestors of mitochondria and chloroplasts were once independent, free-living prokaryotes EXCEPT:
A. Mitochondria and chloroplasts divide independently of the eukaryotic host cell by a process similar to binary fission.
B. Mitochondria and chloroplasts have ribosomes that more closely resemble those of bacteria than of eukaryotic cells.
C. Mitochondria and chloroplasts function independently from the eukaryotic host cell.
D. Mitochondria, chloroplasts, and bacteria have a single, circular chromosome without histones or proteins.",C,biology,A|B|C|D
3057,"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT:
A. Genes are exchanged with other populations.
B. Population size is large.
C. Natural selection does not take place.
D. Matings are random.",A,biology,A|B|C|D
3386,"Which of the following is the source of oxygen produced during photosynthesis?
A. O2
B. CH4 (Methane)
C. CO2
D. H2O
E. N2 (Nitrogen)
F. C6H12O6 (Glucose)
G. H2O2
H. O3 (Ozone)
I. CO
J. C (Carbon)",D,biology,A|B|C|D|E|F|G|H|I|J
3212,"Which is a true statement concerning genetic variation?
A. It is created by the direct action of natural selection.
B. It tends to be reduced by the processes involved when diploid organisms produce gametes.
C. It must be present in a population before natural selection can act upon the population.
D. It is always increased by the processes involved when diploid organisms produce gametes.
E. It is not affected by the environmental changes.
F. It can only be created by artificial selection.
G. It is only present in a population after natural selection has acted upon the population.
H. It arises independently of changes in the environment.
I. It is always reduced by the processes involved when diploid organisms produce gametes.
J. It arises in response to changes in the environment.",C,biology,A|B|C|D|E|F|G|H|I|J
3270,"Adaptations of plants to minimize water loss in environments with high temperatures include which of the following?
A. Thick, lush foliage
B. Smooth, glossy leaves
C. High rates of transpiration
D. Shallow root systems
E. Spines instead of leaves
F. Numerous stomata
G. Thin cuticles
H. Large surface-to-volume ratios
I. Absence of stomata
J. Broad, flat leaves",E,biology,A|B|C|D|E|F|G|H|I|J
