question_no,question,correct_answer,category,labels
mmlu-abstract_algebra-00019,"Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.
A. True, True
B. False, False
C. True, False
D. False, True",A,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00040,"The set of integers Z with the binary operation ""*"" defined as a*b =a +b+ 1 for a, b in Z, is a group. The identity element of this group is
A. 0
B. 1
C. -1
D. 12",C,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00054,"Find the degree for the given field extension Q(sqrt(2)) over Q.
A. 0
B. 2
C. 1
D. 3",B,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00056,"Statement 1 | 4x - 2 is irreducible over Z. Statement 2 | 4x - 2 is irreducible over Q.
A. True, True
B. False, False
C. True, False
D. False, True",D,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00029,"Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.
A. True, True
B. False, False
C. True, False
D. False, True",A,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00025,"Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an
A. subgroup
B. finite abelian group
C. infinite, non abelian group
D. ininite, abelian",C,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00032,"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.
A. True, True
B. False, False
C. True, False
D. False, True",A,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00066,"Statement 1 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)+g(x)) = maximum (deg f(x), deg g(x)). Statement 2 | If F is a field then every ideal of F[x] is principal.
A. True, True
B. False, False
C. True, False
D. False, True",D,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00093,"Find the maximum possible order for an element of S_n for n = 6.
A. 6
B. 12
C. 30
D. 105",A,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00086,"Statement 1 | If H and K are subgroups of a group G, then |HK| = |H||K|/|H intersection K|. Statement 2 | A group of order 2p where p is an odd prime is cyclic or isomorphic to D_p.
A. True, True
B. False, False
C. True, False
D. False, True",A,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00057,"Find the generator for the finite field Z_11.
A. 1
B. 2
C. 3
D. 4",B,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00050,"Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.
A. True, True
B. False, False
C. True, False
D. False, True",D,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00091,"Find all cosets of the subgroup 4Z of 2Z.
A. 4Z
B. 4Z, 2 + 4Z
C. 2Z
D. Z",B,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00046,"Statement 1 | A homomorphism may have an empty kernel. Statement 2 | It is not possible to have a nontrivial homomorphism of some finite group into some infinite group.
A. True, True
B. False, False
C. True, False
D. False, True",B,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00083,"Statement 1 | If a group has an element of order 10, then it has elements of orders 1, 2, and 5. Statement 2 | If a group has an element of order 2 and an element of order 3, then it has an element of order 6.
A. True, True
B. False, False
C. True, False
D. False, True",C,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00096,"Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^2 + 1 in Z_2
A. 0
B. 1
C. 0,1
D. 2",B,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00001,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
A. 8
B. 2
C. 24
D. 120",C,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00028,"Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.
A. True, True
B. False, False
C. True, False
D. False, True",D,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00061,"Statement 1 | The set of 2 x 2 matrices with integer entries and nonzero determinant is a group under matrix multiplication. Statement 2 | The set of 2 x 2 matrices with integer entries and determinant 1 is a group under matrix multiplication.
A. True, True
B. False, False
C. True, False
D. False, True",D,abstract_algebra,A|B|C|D
mmlu-abstract_algebra-00012,"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)
A. 1
B. 2
C. 5
D. 11",A,abstract_algebra,A|B|C|D
mmlu-high_school_microeconomics-04533,"You are told that the income elasticity for DVDs is + 1.5. This means that
A. a 10 percent increase in income produces a 15 percent increase in consumption of DVDs. DVDs are a normal luxury good.
B. a 10 percent increase in income produces a 15 percent increase in consumption of DVDs. DVDs are an inferior good.
C. a 10 percent increase in income produces a 15 percent decrease in consumption of DVDs. DVDs are an inferior good.
D. a 10 percent increase in the price of DVDs produces a 15 percent decrease in consumption of DVDs. DVDs are a price elastic good.",A,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04645,"Which of the following is a fundamental aspect of the free market system?
A. A high degree of government involvement.
B. Public ownership of resources.
C. Private property.
D. Central planners set wages and prices.",C,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04686,"Economics is best described as
A. the study of how scarce material wants are allocated between unlimited resources.
B. the study of how scarce labor can be replaced by unlimited capital.
C. the study of how decision makers choose the best way to satisfy their unlimited material wants with a scarce supply of resources.
D. the study of how unlimited material wants can best be satisfied by allocating limitless amounts of productive resources.",C,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04707,"If Matt's total utility from consuming bratwurst increased at a constant rate, no matter how many bratwurst Matt consumed, what would Matt's demand curve for bratwurst look like?
A. Vertical
B. Horizontal
C. Downward sloping
D. Upward sloping",B,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04721,"Assume a firm hires labor for $15 each and sells its products for $3 each. If the MP of the 3rd worker is 10, which of the following statements would be the most true?
A. The firm should hire more labor so that the MRPL will increase.
B. The firm should hire more labor so that the MRPL will decrease.
C. The firm should hire less labor so that the MRPL will increase.
D. The firm should hire less labor so that the MRPL will decrease.",B,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04652,"Labor, human capital, entrepreneurship, natural resources, and physical capital are all examples of which of the following?
A. Public goods
B. Inferior goods
C. Factors of production
D. Outputs",C,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04716,"The basis for the answer in number 1 is
A. P or wage rate of labor > MRP of labor and with one additional unit of labor, wage rate < MRP.
B. P or wage rate of labor < MRP of labor and with one additional unit of labor WI, > MRP.
C. total revenue is at a maximum.
D. total output is at a maximum.",B,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04558,"When a good is taxed, the tax burden falls mainly on the consumer if
A. the demand is inelastic and the supply is inelastic
B. the demand is inelastic and the supply is elastic
C. the demand is elastic and the supply is inelastic
D. the demand is elastic and the supply is elastic",B,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04519,"Which of the following conditions is characteristic of oligopoly?
A. A rival firm matches price decreases of rivals, but fails to match any price increases of rivals.
B. A rival firm matches price increases of rivals, but fails to match any price decrease of rivals.
C. A rival firm fails to match both price increases or price decreases of rivals.
D. (I)) Rival firms act independently of each other.",A,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04663,"The demand curve for a perfectly competitive firm's product is
A. downward sloping and equal to the market demand curve.
B. perfectly elastic.
C. perfectly inelastic.
D. kinked at the going market price.",B,high_school_microeconomics,A|B|C|D
mmlu-high_school_microeconomics-04696,"The greater (higher) the wage elasticity of demand, the
A. greater the proportion of capital costs to labor costs in the production of goods.
B. greater the price elasticity for the product produced by labor.
C. the smaller the number of substitutes for labor.
D. the smaller the time period.",B,high_school_microeconomics,A|B|C|D
